Num X cells: 60
Num Y cells: 80
Num ghost cells: 4
Time: 0.364286
-0.983333 0.5375 -4.09876e-32
-0.983333 0.5625 9.29052e-34
-0.983333 0.5875 8.52047e-35
-0.983333 0.6125 -6.50044e-36
-0.983333 0.6375 -5.91024e-38
-0.983333 0.6625 8.55221e-38
-0.983333 0.6875 5.98197e-40
-0.983333 0.7125 -1.4942e-39
-0.983333 0.7375 2.22133e-40
-0.983333 0.7625 -6.45781e-42
-0.983333 0.7875 -1.39665e-43
-0.983333 0.8125 2.01256e-44
-0.983333 0.8375 -1.16372e-45
-0.983333 0.8625 6.11773e-46
-0.983333 0.8875 -1.34112e-46
-0.983333 0.9125 1.72596e-47
-0.983333 0.9375 -1.2412e-48
-0.983333 0.9625 5.32493e-50
-0.983333 0.9875 5.40201e-52
-0.983333 1.0125 2.46022e-62
-0.983333 1.0375 -1.59722e-60
-0.983333 1.0625 2.71565e-59
-0.983333 1.0875 -3.80753e-58
-0.95 -1.0875 3.85204e-50
-0.95 -1.0625 -1.42371e-50
-0.95 -1.0375 2.251e-51
-0.95 -1.0125 -3.90106e-52
-0.95 -0.9875 1.63026e-64
-0.95 -0.9625 -2.59194e-63
-0.95 -0.9375 6.19687e-62
-0.95 -0.9125 -2.10231e-60
-0.95 -0.8875 5.63497e-59
-0.95 -0.8625 -8.39756e-58
-0.95 -0.8375 1.40317e-56
-0.95 -0.8125 -3.79129e-55
-0.95 -0.7875 9.35504e-54
-0.95 -0.7625 -6.89886e-53
-0.95 -0.7375 5.17655e-51
-0.95 -0.7125 -5.39295e-50
-0.95 -0.6875 1.94195e-49
-0.95 -0.6625 -2.57236e-47
-0.95 -0.6375 8.61067e-46
-0.95 -0.6125 -1.01959e-44
-0.95 -0.5875 2.30114e-43
-0.95 -0.5625 -3.3509e-42
-0.95 -0.5375 -2.59456e-41
-0.95 -0.5125 4.91871e-39
-0.95 -0.4875 9.28492e-39
-0.95 -0.4625 9.99068e-38
-0.95 -0.4375 1.82251e-36
-0.95 -0.4125 -1.19475e-35
-0.95 -0.3875 -1.52076e-33
-0.95 -0.3625 -2.24316e-33
-0.95 -0.3375 3.19368e-32
-0.95 -0.3125 -3.81031e-31
-0.95 -0.2875 7.972e-30
-0.95 -0.2625 -2.52255e-29
-0.95 -0.2375 -2.43459e-26
-0.95 -0.2125 4.5488e-29
-0.95 -0.1875 -2.51784e-27
-0.95 -0.1625 -3.85354e-27
-0.95 -0.1375 -1.93658e-27
-0.95 -0.1125 1.64689e-28
-0.95 -0.0875 -5.90174e-29
-0.95 -0.0625 -1.69388e-27
-0.95 -0.0375 -1.60028e-27
-0.95 -0.0125 2.74653e-29
-0.95 0.0125 3.47222e-29
-0.95 0.0375 2.94317e-29
-0.95 0.0625 4.63294e-29
-0.95 0.0875 -9.88766e-29
-0.95 0.1125 -1.02705e-26
-0.95 0.1375 2.94105e-28
-0.95 0.1625 -2.99473e-29
-0.95 0.1875 3.86364e-29
-0.95 0.2125 2.99562e-30
-0.95 0.2375 3.16474e-28
-0.95 0.2625 -9.80592e-27
-0.95 0.2875 -3.02907e-28
-0.95 0.3125 3.11528e-28
-0.95 0.3375 -6.84494e-29
-0.95 0.3625 7.29402e-31
-0.95 0.3875 -5.78312e-31
-0.95 0.4125 4.9489e-31
-0.95 0.4375 -8.84534e-33
-0.95 0.4625 1.67688e-33
-0.95 0.4875 -1.15514e-34
-0.95 0.5125 -2.50683e-34
-0.95 0.5375 3.48854e-35
-0.95 0.5625 -3.76782e-36
-0.95 0.5875 -9.59652e-38
-0.95 0.6125 5.70693e-38
-0.95 0.6375 -1.28711e-38
-0.95 0.6625 1.79036e-39
-0.95 0.6875 -6.61616e-41
-0.95 0.7125 -4.23808e-42
-0.95 0.7375 2.67682e-43
-0.95 0.7625 1.20387e-45
-0.95 0.7875 4.672e-45
-0.95 0.8125 -2.27905e-45
-0.95 0.8375 3.58486e-46
-0.95 0.8625 -3.27197e-47
-0.95 0.8875 1.35928e-48
-0.95 0.9125 3.85204e-50
-0.95 0.9375 -1.42371e-50
-0.95 0.9625 2.251e-51
-0.95 0.9875 -3.90106e-52
-0.95 1.0125 1.63026e-64
-0.95 1.0375 -2.59194e-63
-0.95 1.0625 6.19687e-62
-0.95 1.0875 -2.10231e-60
-0.916667 -1.0875 8.80769e-50
-0.916667 -1.0625 -2.51623e-50
-0.916667 -1.0375 4.78633e-51
-0.916667 -1.0125 -7.80984e-52
-0.916667 -0.9875 5.03633e-64
-0.916667 -0.9625 -1.53341e-62
-0.916667 -0.9375 2.30136e-61
-0.916667 -0.9125 -1.15894e-59
-0.916667 -0.8875 1.6722e-58
-0.916667 -0.8625 -3.35211e-57
-0.916667 -0.8375 4.34712e-56
-0.916667 -0.8125 -1.45807e-54
-0.916667 -0.7875 2.43282e-53
-0.916667 -0.7625 -1.39668e-51
-0.916667 -0.7375 1.68515e-50
-0.916667 -0.7125 -2.75491e-49
-0.916667 -0.6875 5.60995e-48
-0.916667 -0.6625 -1.83507e-46
-0.916667 -0.6375 2.39719e-45
-0.916667 -0.6125 -3.79627e-44
-0.916667 -0.5875 8.48188e-43
-0.916667 -0.5625 -1.52521e-41
-0.916667 -0.5375 5.81937e-40
-0.916667 -0.5125 -2.10808e-38
-0.916667 -0.4875 9.19504e-38
-0.916667 -0.4625 -2.29175e-36
-0.916667 -0.4375 1.26933e-35
-0.916667 -0.4125 -6.18532e-35
-0.916667 -0.3875 5.34488e-33
-0.916667 -0.3625 -5.17246e-33
-0.916667 -0.3375 8.06097e-32
-0.916667 -0.3125 -1.42183e-30
-0.916667 -0.2875 3.57765e-29
-0.916667 -0.2625 -3.60905e-28
-0.916667 -0.2375 8.00236e-26
-0.916667 -0.2125 -1.85987e-29
-0.916667 -0.1875 6.98342e-27
-0.916667 -0.1625 1.3361e-26
-0.916667 -0.1375 6.38354e-27
-0.916667 -0.1125 7.32088e-28
-0.916667 -0.0875 -6.82575e-28
-0.916667 -0.0625 5.03943e-27
-0.916667 -0.0375 6.33586e-27
-0.916667 -0.0125 -1.44254e-28
-0.916667 0.0125 -9.73759e-29
-0.916667 0.0375 -1.06996e-28
-0.916667 0.0625 -1.53569e-29
-0.916667 0.0875 -9.24199e-28
-0.916667 0.1125 3.28596e-26
-0.916667 0.1375 1.54508e-27
-0.916667 0.1625 -5.02321e-28
-0.916667 0.1875 -5.33755e-29
-0.916667 0.2125 -9.7869e-29
-0.916667 0.2375 -1.36613e-28
-0.916667 0.2625 6.11379e-27
-0.916667 0.2875 -2.8443e-28
-0.916667 0.3125 -5.29683e-28
-0.916667 0.3375 -8.41314e-30
-0.916667 0.3625 1.41166e-30
-0.916667 0.3875 2.98583e-30
-0.916667 0.4125 -1.76585e-30
-0.916667 0.4375 -8.80339e-32
-0.916667 0.4625 1.35996e-32
-0.916667 0.4875 5.75968e-34
-0.916667 0.5125 3.41874e-34
-0.916667 0.5375 -4.18406e-35
-0.916667 0.5625 4.54463e-36
-0.916667 0.5875 7.6652e-37
-0.916667 0.6125 -3.73497e-39
-0.916667 0.6375 -1.91957e-38
-0.916667 0.6625 5.69264e-39
-0.916667 0.6875 -2.27293e-40
-0.916667 0.7125 -7.02962e-42
-0.916667 0.7375 1.0931e-42
-0.916667 0.7625 -4.38253e-44
-0.916667 0.7875 1.30232e-44
-0.916667 0.8125 -4.10124e-45
-0.916667 0.8375 6.8085e-46
-0.916667 0.8625 -6.22806e-47
-0.916667 0.8875 2.71083e-48
-0.916667 0.9125 8.80769e-50
-0.916667 0.9375 -2.51623e-50
-0.916667 0.9625 4.78633e-51
-0.916667 0.9875 -7.80984e-52
-0.916667 1.0125 5.03633e-64
-0.916667 1.0375 -1.53341e-62
-0.916667 1.0625 2.30136e-61
-0.916667 1.0875 -1.15894e-59
-0.883333 -1.0875 -2.60007e-50
-0.883333 -1.0625 5.18336e-51
-0.883333 -1.0375 -7.86586e-52
-0.883333 -1.0125 1.00992e-52
-0.883333 -0.9875 -3.73448e-65
-0.883333 -0.9625 1.25987e-63
-0.883333 -0.9375 -1.87444e-62
-0.883333 -0.9125 1.03219e-60
-0.883333 -0.8875 -1.4617e-59
-0.883333 -0.8625 2.63846e-58
-0.883333 -0.8375 -3.1015e-57
-0.883333 -0.8125 1.21644e-55
-0.883333 -0.7875 -2.08529e-54
-0.883333 -0.7625 1.22451e-52
-0.883333 -0.7375 -1.45265e-51
-0.883333 -0.7125 2.16735e-50
-0.883333 -0.6875 -4.60692e-49
-0.883333 -0.6625 1.65428e-47
-0.883333 -0.6375 -2.12571e-46
-0.883333 -0.6125 2.88955e-45
-0.883333 -0.5875 -6.90955e-44
-0.883333 -0.5625 1.29144e-42
-0.883333 -0.5375 -5.17354e-41
-0.883333 -0.5125 1.90545e-39
-0.883333 -0.4875 -8.24066e-39
-0.883333 -0.4625 2.10621e-37
-0.883333 -0.4375 -9.57688e-37
-0.883333 -0.4125 3.70687e-36
-0.883333 -0.3875 -4.77023e-34
-0.883333 -0.3625 4.88441e-34
-0.883333 -0.3375 -5.95086e-33
-0.883333 -0.3125 1.01772e-31
-0.883333 -0.2875 -3.10861e-30
-0.883333 -0.2625 3.17115e-29
-0.883333 -0.2375 -7.234e-27
-0.883333 -0.2125 3.21542e-30
-0.883333 -0.1875 -5.55818e-28
-0.883333 -0.1625 -1.1727e-27
-0.883333 -0.1375 -5.18176e-28
-0.883333 -0.1125 -6.91879e-29
-0.883333 -0.0875 6.35025e-29
-0.883333 -0.0625 -4.06689e-28
-0.883333 -0.0375 -5.68955e-28
-0.883333 -0.0125 1.73129e-29
-0.883333 0.0125 7.31715e-30
-0.883333 0.0375 9.48621e-30
-0.883333 0.0625 8.38425e-31
-0.883333 0.0875 8.56814e-29
-0.883333 0.1125 -2.87371e-27
-0.883333 0.1375 -1.44882e-28
-0.883333 0.1625 4.64732e-29
-0.883333 0.1875 4.23938e-30
-0.883333 0.2125 8.47166e-30
-0.883333 0.2375 1.25451e-29
-0.883333 0.2625 -7.71139e-28
-0.883333 0.2875 2.95497e-29
-0.883333 0.3125 4.75782e-29
-0.883333 0.3375 3.32178e-31
-0.883333 0.3625 -2.25502e-32
-0.883333 0.3875 -2.61354e-31
-0.883333 0.4125 1.58993e-31
-0.883333 0.4375 7.7468e-33
-0.883333 0.4625 -1.17791e-33
-0.883333 0.4875 -6.76289e-35
-0.883333 0.5125 -3.08469e-35
-0.883333 0.5375 4.13418e-36
-0.883333 0.5625 -4.87173e-37
-0.883333 0.5875 -4.31121e-38
-0.883333 0.6125 -2.02358e-39
-0.883333 0.6375 1.88614e-39
-0.883333 0.6625 -5.40626e-40
-0.883333 0.6875 2.12924e-41
-0.883333 0.7125 8.23014e-43
-0.883333 0.7375 -1.59484e-43
-0.883333 0.7625 1.52412e-44
-0.883333 0.7875 -2.54332e-45
-0.883333 0.8125 4.77457e-46
-0.883333 0.8375 -6.60744e-47
-0.883333 0.8625 5.58936e-48
-0.883333 0.8875 -1.72645e-49
-0.883333 0.9125 -2.60007e-50
-0.883333 0.9375 5.18336e-51
-0.883333 0.9625 -7.86586e-52
-0.883333 0.9875 1.00992e-52
-0.883333 1.0125 -3.73448e-65
-0.883333 1.0375 1.25987e-63
